From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
PA1357,Q9I3Y7,unreviewed,Q9I3Y7_PSEAE,YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein,PA1357,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),158,,aminoacyl-tRNA editing activity [GO:0002161],GO:0002161,,aminoacyl-tRNA editing activity [GO:0002161]
PA2566,Q9I0R9,unreviewed,Q9I0R9_PSEAE,FAD/NAD(P)-binding domain-containing protein,PA2566,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),395,,oxidoreductase activity [GO:0016491],GO:0016491,,oxidoreductase activity [GO:0016491]
PA0177,Q9I6V5,unreviewed,Q9I6V5_PSEAE,Probable purine-binding chemotaxis protein,PA0177,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),161,chemotaxis [GO:0006935]; signal transduction [GO:0007165],cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],GO:0005829; GO:0006935; GO:0007165,cytosol [GO:0005829],
PA5421,Q9HTE3,reviewed,FADH_PSEAE,Glutathione-independent formaldehyde dehydrogenase (FALDH) (FDH) (EC 1.2.1.46),fdhA PA5421,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),399,,formaldehyde dehydrogenase activity [GO:0018467]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]; zinc ion binding [GO:0008270],GO:0008270; GO:0018467; GO:0043878,,formaldehyde dehydrogenase activity [GO:0018467]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]; zinc ion binding [GO:0008270]
PA4705,Q9HV92,unreviewed,Q9HV92_PSEAE,Haem-binding uptake Tiki superfamily ChaN domain-containing protein,PA4705,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),295,,,,,
PA3261,Q9HYX9,unreviewed,Q9HYX9_PSEAE,Solute-binding protein family 3/N-terminal domain-containing protein,PA3261,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),248,,,,,
PA1545,Q04628,reviewed,Y1545_PSEAE,Uncharacterized protein PA1545,PA1545,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),155,,,,,
PA3417,Q9HYI8,unreviewed,Q9HYI8_PSEAE,Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1),pdhA PA3417,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),365,acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glycolytic process [GO:0006096],pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glycolytic process [GO:0006096],GO:0004739; GO:0006086; GO:0006096,,pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]
PA4908,Q9HUQ5,unreviewed,Q9HUQ5_PSEAE,Ornithine cyclodeaminase,PA4908,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),310,,cytoplasm [GO:0005737],GO:0005737,cytoplasm [GO:0005737],
PA3290,Q9HYV3,unreviewed,Q9HYV3_PSEAE,DUF2235 domain-containing protein,PA3290,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),882,,,,,
PA5397,Q9HTG7,unreviewed,Q9HTG7_PSEAE,4-vinyl reductase 4VR domain-containing protein,PA5397,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),176,choline catabolic process [GO:0042426]; glycine betaine catabolic process [GO:0031457],choline catabolic process [GO:0042426]; glycine betaine catabolic process [GO:0031457],GO:0031457; GO:0042426,,
PA1470,Q9I3P2,unreviewed,Q9I3P2_PSEAE,Probable short-chain dehydrogenase,PA1470,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),245,,,,,
PA2196,Q9I1S1,unreviewed,Q9I1S1_PSEAE,Probable transcriptional regulator,PA2196,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),194,,transcription cis-regulatory region binding [GO:0000976],GO:0000976,,transcription cis-regulatory region binding [GO:0000976]
PA1225,Q9I4B3,unreviewed,Q9I4B3_PSEAE,Probable NAD(P)H dehydrogenase,PA1225,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208,,cytosol [GO:0005829]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADPH:quinone reductase activity [GO:0003960],GO:0003955; GO:0003960; GO:0005829,cytosol [GO:0005829],NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADPH:quinone reductase activity [GO:0003960]
PA1997,Q9I2B2,unreviewed,Q9I2B2_PSEAE,Probable AMP-binding enzyme,PA1997,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),651,lipid metabolic process [GO:0006629],cytosol [GO:0005829]; acetoacetate-CoA ligase activity [GO:0030729]; lipid metabolic process [GO:0006629],GO:0005829; GO:0006629; GO:0030729,cytosol [GO:0005829],acetoacetate-CoA ligase activity [GO:0030729]
PA4708,Q9HV90,unreviewed,Q9HV90_PSEAE,"Heme-transport protein, PhuT",phuT PA4708,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),297,,,,,
PA1524,Q9I3I9,unreviewed,Q9I3I9_PSEAE,Xanthine dehydrogenase,xdhA PA1524,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),484,,"2 iron, 2 sulfur cluster binding [GO:0051537]; FAD binding [GO:0071949]; iron ion binding [GO:0005506]; xanthine dehydrogenase activity [GO:0004854]",GO:0004854; GO:0005506; GO:0051537; GO:0071949,,"2 iron, 2 sulfur cluster binding [GO:0051537]; FAD binding [GO:0071949]; iron ion binding [GO:0005506]; xanthine dehydrogenase activity [GO:0004854]"
PA0384,Q9I6B1,unreviewed,Q9I6B1_PSEAE,Uncharacterized protein,PA0384,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),85,,,,,
PA0982,Q9I4Y7,unreviewed,Q9I4Y7_PSEAE,Thioredoxin-like fold domain-containing protein,PA0982,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),182,,,,,
PA1945,Q9I2F9,unreviewed,Q9I2F9_PSEAE,Probable transcriptional regulator,PA1945,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),442,regulation of DNA-templated transcription [GO:0006355],ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]; regulation of DNA-templated transcription [GO:0006355],GO:0005524; GO:0006355; GO:0043565,,ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]
PA3409,Q9HYJ6,unreviewed,Q9HYJ6_PSEAE,Probable transmembrane sensor,PA3409,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),328,,sigma factor antagonist activity [GO:0016989],GO:0016989,,sigma factor antagonist activity [GO:0016989]
PA1820,Q9I2S5,reviewed,NHAB_PSEAE,Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB),nhaB PA1820,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),500,,membrane [GO:0016020]; plasma membrane [GO:0005886]; sodium:proton antiporter activity [GO:0015385],GO:0005886; GO:0015385; GO:0016020,membrane [GO:0016020]; plasma membrane [GO:0005886],sodium:proton antiporter activity [GO:0015385]
PA4806,Q9HV03,unreviewed,Q9HV03_PSEAE,Probable transcriptional regulator,PA4806,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),227,,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],GO:0000156; GO:0000976; GO:0001216; GO:0005829; GO:0032993,cytosol [GO:0005829]; protein-DNA complex [GO:0032993],DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]
PA2701,Q9I0E1,unreviewed,Q9I0E1_PSEAE,Probable major facilitator superfamily (MFS) transporter,PA2701,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),529,,membrane [GO:0016020]; transmembrane transporter activity [GO:0022857],GO:0016020; GO:0022857,membrane [GO:0016020],transmembrane transporter activity [GO:0022857]
PA4041,Q9HWY6,unreviewed,Q9HWY6_PSEAE,Mandelate racemase/muconate lactonizing enzyme C-terminal domain-containing protein,PA4041,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),389,,D(-)-tartrate dehydratase activity [GO:0047808],GO:0047808,,D(-)-tartrate dehydratase activity [GO:0047808]
PA4506,Q9HVR5,unreviewed,Q9HVR5_PSEAE,Probable ATP-binding component of ABC dipeptide transporter,PA4506,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),323,,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dipeptide transmembrane transporter activity [GO:0071916]",GO:0005524; GO:0016887; GO:0055052; GO:0071916,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]",ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; dipeptide transmembrane transporter activity [GO:0071916]
PA0159,Q9I6X3,unreviewed,Q9I6X3_PSEAE,Probable transcriptional regulator,PA0159,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),312,regulation of DNA-templated transcription [GO:0006355],DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355],GO:0000976; GO:0003700; GO:0006355,,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
PA4473,Q9HVU8,reviewed,Y4473_PSEAE,UPF0307 protein PA4473,PA4473,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),174,,cytosol [GO:0005829],GO:0005829,cytosol [GO:0005829],
PA5186,Q9HU03,unreviewed,Q9HU03_PSEAE,Probable iron-containing alcohol dehydrogenase,PA5186,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),387,,alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872],GO:0004022; GO:0046872,,alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]
PA0213,Q9I6S5,reviewed,MDCG_PSEAE,Phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.66) (Malonate decarboxylase holo-[acyl-carrier-protein] synthase) (Holo-ACP synthase),mdcG PA0213,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),210,,nucleotidyltransferase activity [GO:0016779],GO:0016779,,nucleotidyltransferase activity [GO:0016779]
PA0157,Q9I6X5,unreviewed,Q9I6X5_PSEAE,Probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein,PA0157,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),356,response to chemical [GO:0042221],efflux pump complex [GO:1990281]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; response to chemical [GO:0042221],GO:0005886; GO:0015562; GO:0042221; GO:1990281,efflux pump complex [GO:1990281]; plasma membrane [GO:0005886],efflux transmembrane transporter activity [GO:0015562]
PA0364,Q9I6D0,unreviewed,Q9I6D0_PSEAE,Probable oxidoreductase,PA0364,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),531,,"flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",GO:0016614; GO:0050660,,"flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]"
PA1646,Q9I379,unreviewed,Q9I379_PSEAE,Probable chemotaxis transducer,PA1646,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),652,chemotaxis [GO:0006935]; signal transduction [GO:0007165],membrane [GO:0016020]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],GO:0006935; GO:0007165; GO:0016020,membrane [GO:0016020],
PA2374,Q9I1A5,unreviewed,Q9I1A5_PSEAE,Toxin-antitoxin system YwqK family antitoxin,PA2374,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),178,,,,,
PA3354,Q9HYP2,unreviewed,Q9HYP2_PSEAE,DUF2064 domain-containing protein,PA3354,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),203,,,,,
PA4896,Q9HUR7,unreviewed,Q9HUR7_PSEAE,"Probable sigma-70 factor, ECF subfamily",PA4896,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),178,DNA-templated transcription initiation [GO:0006352]; regulation of iron ion transport [GO:0034756],cytosol [GO:0005829]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; regulation of iron ion transport [GO:0034756],GO:0003677; GO:0005829; GO:0006352; GO:0016987; GO:0034756,cytosol [GO:0005829],DNA binding [GO:0003677]; sigma factor activity [GO:0016987]
PA1529,Q9I3I4,reviewed,DNLJ_PSEAE,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)]),ligA PA1529,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),794,"base-excision repair, DNA ligation [GO:0006288]; DNA replication [GO:0006260]","cytosol [GO:0005829]; DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]; base-excision repair, DNA ligation [GO:0006288]; DNA replication [GO:0006260]",GO:0003911; GO:0005829; GO:0006260; GO:0006288; GO:0046872,cytosol [GO:0005829],DNA ligase (NAD+) activity [GO:0003911]; metal ion binding [GO:0046872]
PA1860,Q9I2N5,unreviewed,Q9I2N5_PSEAE,O-Methyltransferase,PA1860,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),275,methylation [GO:0032259],methyltransferase activity [GO:0008168]; methylation [GO:0032259],GO:0008168; GO:0032259,,methyltransferase activity [GO:0008168]
PA3599,Q9HY27,unreviewed,Q9HY27_PSEAE,Probable transcriptional regulator,PA3599,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),261,,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],GO:0000156; GO:0000976; GO:0001216; GO:0005829; GO:0032993,cytosol [GO:0005829]; protein-DNA complex [GO:0032993],DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]
PA3955,Q9HX61,unreviewed,Q9HX61_PSEAE,Uncharacterized protein,PA3955,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),218,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA3373,Q9HYM8,unreviewed,Q9HYM8_PSEAE,"Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)",phnN PA3373,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),185,5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; NAD biosynthetic process [GO:0009435]; organic phosphonate metabolic process [GO:0019634],"cytosol [GO:0005829]; ATP binding [GO:0005524]; ribose 1,5-bisphosphate phosphokinase activity [GO:0033863]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; NAD biosynthetic process [GO:0009435]; organic phosphonate metabolic process [GO:0019634]",GO:0005524; GO:0005829; GO:0006015; GO:0009435; GO:0019634; GO:0033863,cytosol [GO:0005829],"ATP binding [GO:0005524]; ribose 1,5-bisphosphate phosphokinase activity [GO:0033863]"
PA2232,Q9I1N7,unreviewed,Q9I1N7_PSEAE,mannose-1-phosphate guanylyltransferase (EC 2.7.7.13),pslB PA2232,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),488,extracellular polysaccharide biosynthetic process [GO:0045226]; GDP-mannose biosynthetic process [GO:0009298]; single-species biofilm formation [GO:0044010],mannose isomerase activity [GO:0050089]; mannose-1-phosphate guanylyltransferase (GTP) activity [GO:0004475]; extracellular polysaccharide biosynthetic process [GO:0045226]; GDP-mannose biosynthetic process [GO:0009298]; single-species biofilm formation [GO:0044010],GO:0004475; GO:0009298; GO:0044010; GO:0045226; GO:0050089,,mannose isomerase activity [GO:0050089]; mannose-1-phosphate guanylyltransferase (GTP) activity [GO:0004475]
PA4018,Q9HX09,unreviewed,Q9HX09_PSEAE,YceK/YidQ family lipoprotein,PA4018,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),91,,,,,
PA4609,P96963,reviewed,RADA_PSEAE,DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA),radA PA4609,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),453,recombinational repair [GO:0000725],ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; recombinational repair [GO:0000725],GO:0000725; GO:0003684; GO:0005524; GO:0016787; GO:0046872; GO:0140664,,ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
PA5439,Q9HTC7,unreviewed,Q9HTC7_PSEAE,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),zwf PA5439,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),488,"glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]","cytosol [GO:0005829]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]",GO:0004345; GO:0005829; GO:0006006; GO:0009051; GO:0050661,cytosol [GO:0005829],glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]
PA3418,Q9HYI7,unreviewed,Q9HYI7_PSEAE,Leucine dehydrogenase,ldh PA3418,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),341,amino acid metabolic process [GO:0006520],"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]; amino acid metabolic process [GO:0006520]",GO:0000166; GO:0006520; GO:0016639,,"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]"
PA4709,Q9HV89,unreviewed,Q9HV89_PSEAE,Probable hemin degrading factor,PA4709,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),354,iron ion transport [GO:0006826],heme binding [GO:0020037]; iron ion transport [GO:0006826],GO:0006826; GO:0020037,,heme binding [GO:0020037]
PA2240,Q9I1M9,unreviewed,Q9I1M9_PSEAE,PslJ,pslJ PA2240,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),478,extracellular polysaccharide biosynthetic process [GO:0045226]; single-species biofilm formation [GO:0044010],membrane [GO:0016020]; extracellular polysaccharide biosynthetic process [GO:0045226]; single-species biofilm formation [GO:0044010],GO:0016020; GO:0044010; GO:0045226,membrane [GO:0016020],
PA5291,Q9HTR3,unreviewed,Q9HTR3_PSEAE,Probable choline transporter,PA5291,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),661,cellular hyperosmotic salinity response [GO:0071475]; glycine betaine transport [GO:0031460],membrane [GO:0016020]; plasma membrane [GO:0005886]; amine transmembrane transporter activity [GO:0005275]; glycine betaine:proton symporter activity [GO:0015653]; transmembrane transporter activity [GO:0022857]; cellular hyperosmotic salinity response [GO:0071475]; glycine betaine transport [GO:0031460],GO:0005275; GO:0005886; GO:0015653; GO:0016020; GO:0022857; GO:0031460; GO:0071475,membrane [GO:0016020]; plasma membrane [GO:0005886],amine transmembrane transporter activity [GO:0005275]; glycine betaine:proton symporter activity [GO:0015653]; transmembrane transporter activity [GO:0022857]
PA2621,Q9I0L7,reviewed,CLPS_PSEAE,ATP-dependent Clp protease adapter protein ClpS,clpS PA2621,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),122,bacterial-type flagellum-dependent swarming motility [GO:0071978]; cellular response to antibiotic [GO:0071236]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; single-species biofilm formation [GO:0044010]; single-species biofilm formation on inanimate substrate [GO:0044011],chaperone binding [GO:0051087]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; cellular response to antibiotic [GO:0071236]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; single-species biofilm formation [GO:0044010]; single-species biofilm formation on inanimate substrate [GO:0044011],GO:0006508; GO:0030163; GO:0044010; GO:0044011; GO:0051087; GO:0071236; GO:0071978,,chaperone binding [GO:0051087]
PA0210,Q9I6S8,reviewed,MDCC_PSEAE,Malonate decarboxylase acyl carrier protein (Malonate decarboxylase subunit delta),mdcC PA0210,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),99,,cytoplasm [GO:0005737]; acyl carrier activity [GO:0000036],GO:0000036; GO:0005737,cytoplasm [GO:0005737],acyl carrier activity [GO:0000036]
PA5545,Q9HT29,unreviewed,Q9HT29_PSEAE,TAXI family TRAP transporter solute-binding subunit,PA5545,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),319,,,,,
PA0769,Q9I5G6,unreviewed,Q9I5G6_PSEAE,DUF4845 domain-containing protein,PA0769,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),125,,,,,
PA1190,Q9I4E8,unreviewed,Q9I4E8_PSEAE,Yip1 domain-containing protein,PA1190,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),199,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA2233,Q9I1N6,unreviewed,Q9I1N6_PSEAE,PslC,pslC PA2233,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),303,extracellular polysaccharide biosynthetic process [GO:0045226]; single-species biofilm formation [GO:0044010],glycosyltransferase activity [GO:0016757]; extracellular polysaccharide biosynthetic process [GO:0045226]; single-species biofilm formation [GO:0044010],GO:0016757; GO:0044010; GO:0045226,,glycosyltransferase activity [GO:0016757]
PA4312,Q9HW89,unreviewed,Q9HW89_PSEAE,DUF2334 domain-containing protein,PA4312,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),253,carbohydrate metabolic process [GO:0005975],carbohydrate metabolic process [GO:0005975],GO:0005975,,
PA4372,Q9HW30,unreviewed,Q9HW30_PSEAE,Imelysin-like domain-containing protein,PA4372,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),354,,,,,
